"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
349852,"NO-34",34,"Innlandet","EU","NO","https://en.wikipedia.org/wiki/Innlandet",
349853,"NO-38",38,"Vestfold og Telemark","EU","NO","https://en.wikipedia.org/wiki/Vestfold_og_Telemark",
349854,"NO-42",42,"Agder","EU","NO","https://en.wikipedia.org/wiki/Agder",
349855,"NO-46",46,"Vestland","EU","NO","https://en.wikipedia.org/wiki/Vestland",
349856,"NO-50",50,"Trøndelag","EU","NO","https://en.wikipedia.org/wiki/Tr%C3%B8ndelag",
349858,"NO-54",54,"Troms og Finnmark","EU","NO","https://en.wikipedia.org/wiki/Troms_og_Finnmark",
304966,"NO-U-A","U-A","(unassigned)","EU","NO",,
349859,"NO-XX","XX","*Offshore Oil Platforms","EU","NO",,
306444,"NP-BA","BA","Bagmati","AS","NP","https://en.wikipedia.org/wiki/Bagmati",
306443,"NP-BH","BH","Bheri","AS","NP","https://en.wikipedia.org/wiki/Bheri",
306442,"NP-DH","DH","Dhawalagiri","AS","NP","https://en.wikipedia.org/wiki/Dhawalagiri",
306441,"NP-GA","GA","Gandaki","AS","NP","https://en.wikipedia.org/wiki/Gandaki",
306440,"NP-JA","JA","Janakpur","AS","NP","https://en.wikipedia.org/wiki/Janakpur",
306439,"NP-KA","KA","Karnali","AS","NP","https://en.wikipedia.org/wiki/Karnali",
306438,"NP-KO","KO","Kosi","AS","NP","https://en.wikipedia.org/wiki/Kosi","Koshi"
306437,"NP-LU","LU","Lumbini","AS","NP","https://en.wikipedia.org/wiki/Lumbini",
306436,"NP-MA","MA","Mahakali","AS","NP","https://en.wikipedia.org/wiki/Mahakali",
306435,"NP-ME","ME","Mechi","AS","NP","https://en.wikipedia.org/wiki/Mechi",
306434,"NP-NA","NA","Narayani","AS","NP","https://en.wikipedia.org/wiki/Narayani",
306433,"NP-RA","RA","Rapti","AS","NP","https://en.wikipedia.org/wiki/Rapti",
306432,"NP-SA","SA","Sagarmatha","AS","NP","https://en.wikipedia.org/wiki/Sagarmatha",
306431,"NP-SE","SE","Seti","AS","NP","https://en.wikipedia.org/wiki/Seti",
304967,"NP-U-A","U-A","(unassigned)","AS","NP",,
306866,"NR-01",01,"Aiwo","OC","NR","https://en.wikipedia.org/wiki/Aiwo_District",
306867,"NR-02",02,"Anabar","OC","NR","https://en.wikipedia.org/wiki/Anabar_District",
306868,"NR-03",03,"Anetan","OC","NR","https://en.wikipedia.org/wiki/Anetan_District",
306869,"NR-04",04,"Anibare","OC","NR","https://en.wikipedia.org/wiki/Anibare_District",
306870,"NR-05",05,"Baiti","OC","NR","https://en.wikipedia.org/wiki/Baiti_District",
306871,"NR-06",06,"Boe","OC","NR","https://en.wikipedia.org/wiki/Boe_District",
306872,"NR-07",07,"Buada","OC","NR","https://en.wikipedia.org/wiki/Buada_District",
306873,"NR-08",08,"Denigomodu","OC","NR","https://en.wikipedia.org/wiki/Denigomodu_District",
306874,"NR-09",09,"Ewa","OC","NR","https://en.wikipedia.org/wiki/Ewa_District",
306875,"NR-10",10,"Ijuw","OC","NR","https://en.wikipedia.org/wiki/Ijuw_District",
306876,"NR-11",11,"Meneng","OC","NR","https://en.wikipedia.org/wiki/Meneng_District",
306877,"NR-12",12,"Nibok","OC","NR","https://en.wikipedia.org/wiki/Nibok_District",
306878,"NR-13",13,"Uaboe","OC","NR","https://en.wikipedia.org/wiki/Uaboe_District",
306879,"NR-14",14,"Yaren","OC","NR","https://en.wikipedia.org/wiki/Yaren_District",
304968,"NR-U-A","U-A","(unassigned)","OC","NR",,
304969,"NU-U-A","U-A","(unassigned)","OC","NU",,
304970,"NZ-AUK","AUK","Auckland Region","OC","NZ","https://en.wikipedia.org/wiki/Auckland_Region",
304971,"NZ-BOP","BOP","Bay of Plenty Region","OC","NZ","https://en.wikipedia.org/wiki/Bay_of_Plenty",
304972,"NZ-CAN","CAN","Canterbury Region","OC","NZ","https://en.wikipedia.org/wiki/Canterbury,_New_Zealand",
